"Trs_Id","Agency_Type_Desc","Institution_Type_Desc","Organization_Type_Desc","Fy_Month_Num","Fy_Day_Num","Fy_Year_Num","Company_Nm","Street1_Nm","Street2_Nm","City_Nm","State_Desc","Zip_Cd","Zip_4_Cd","Url_Cd","Ftavc_Cd","Logo_Cd","Service_Area","Service_Area_Population","Waiver_9_Req_Fl","Non_Uza_Served_Fl","Veh_Operated_Comment","Institutional_Structure_Desc","other_Url_Cd","Po_Box","Other_Cap_Use_Comment_Desc","Other_Option_B_Comment_Desc","Voluntary_Reporter_Fl","operate_fgw_mbdo_fl","operate_fgw_mbpt_fl"
"9003","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","1. Independent Agency with an elected Board of Directors                                            ","                                                                                                                                                                                                        ",6,30,2008,"San Francisco Bay Area Rapid Transit District                                                       ","300 Lakeside Drive                                                                                  ","                                                                                                    ","Oakland                            ","CA                  ",94604,2688,"www.bart.gov                                                                                        ",1957,"BART                     ","93 ","833,762 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",12688,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y"," ","N"
"9004","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Golden Empire Transit District                                                                      ","1830 Golden State Avenue                                                                            ","                                                                                                    ","Bakersfield                        ","CA                  ",93301,"    ","www.getbus.org                                                                                      ",1695,"GET                      ","98 ","445,980 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N"," "
"9006","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Santa Cruz Metropolitan Transit District                                                            ","370 Encinal                                                                                         ","Suite 100                                                                                           ","Santa Cruz                         ","CA                  ",95060,"    ","www.scmtd.com                                                                                       ",1675,"SCMTD                    ","446 ","254,538 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"9007","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Modesto Area Express                                                                                ","1010 Tenth Street                                                                                   ","                                                                                                    ","Modesto                            ","CA                  ",95354,"    ","www.modestoareaexpress.com                                                                          ",1656,"MAX                      ","41 ","203,000 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",642,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y"," ","N"
"9008","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Santa Monica's Big Blue Bus                                                                         ","1660 Seventh Street                                                                                 ","                                                                                                    ","Santa Monica                       ","CA                  ",90401,3324,"www.bigbluebus.com                                                                                  ",1664,"Big Blue Bus             ","51 ","458,506 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","N"
"9009","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"San Mateo County Transit District                                                                   ","1250 San Carlos Avenue                                                                              ","                                                                                                    ","San Carlos                         ","CA                  ",94070,1306,"www.samtrans.com                                                                                    ",1671,"SamTrans                 ","97 ","737,100 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",3006,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"9010","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Torrance Transit System                                                                             ","20500 Madrona Avenue                                                                                ","                                                                                                    ","Torrance                           ","CA                  ",90503,"    ","www.torrnet.com/92.htm                                                                              ",1666,"TTS                      ","103 ","606,847 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","Y"
"9012","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"San Joaquin Regional Transit District                                                               ","                                                                                                    ","                                                                                                    ","Stockton                           ","CA                  ",95201,"    ","www.sanjoaquinrtd.com                                                                               ",1665,"RTD                      ","1,489 ","564,539 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",201010,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"9013","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Santa Clara Valley Transportation Authority                                                         ","3331 North First Street                                                                             ","                                                                                                    ","San Jose                           ","CA                  ",95134,1927,"www.vta.org                                                                                         ",1674,"VTA                      ","326 ","1,808,056 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","Y"
"9014","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","1. Independent Agency with an elected Board of Directors                                            ","                                                                                                                                                                                                        ",6,30,2008,"Alameda-Contra Costa Transit District                                                               ","1600 Franklin Street                                                                                ","                                                                                                    ","Oakland                            ","CA                  ",94612,"    ","www.actransit.org                                                                                   ",1632,"AC Transit               ","364 ","1,415,129 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","N"
"9015","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","5. Unit of County Government                                                                        ","                                                                                                                                                                                                        ",6,30,2008,"San Francisco Municipal Railway                                                                     ","1 South Van Ness Ave                                                                                ","7th Floor                                                                                           ","San Francisco                      ","CA                  ",94103,5417,"www.sfmta.com                                                                                       ",1697,"MUNI                     ","49 ","824,525 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","N"
"9016","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Golden Gate Bridge, Highway and Transportation District                                             ","Presidio Station                                                                                    ","                                                                                                    ","San Francisco                      ","CA                  ",94129,601,"www.goldengate.org                                                                                  ",1701,"GGBHTD                   ","325 ","590,000 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",9000,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","Y"
"9017","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"City of Santa Rosa                                                                                  ","100 Santa Rosa Ave Room 6                                                                           ","                                                                                                    ","Santa Rosa                         ","CA                  ",95402,1678,"ci.santa-rosa.ca.us                                                                                 ",1677,"Santa Rosa CityBus       ","51 ","159,981 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",1678,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"9019","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Sacramento Regional Transit District                                                                ","1400 29th Street                                                                                    ","                                                                                                    ","Sacramento                         ","CA                  ",95812,2110,"www.sacrt.com                                                                                       ",1659,"Sacramento RT            ","277 ","1,097,932 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",2110,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"9020","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Santa Barbara Metropolitan Transit District                                                         ","550 Olive Street                                                                                    ","                                                                                                    ","Santa Barbara                      ","CA                  ",93101,"    ","www.sbmtd.gov                                                                                       ",1673,"SBMTD                    ","56 ","200,772 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"9022","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Norwalk Transit System                                                                              ","12700 Norwalk Boulevard                                                                             ","                                                                                                    ","Norwalk                            ","CA                  ",90650,"    ","www.ci.norwalk.ca.us                                                                                ",1691,"NTS                      ","37 ","218,955 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"9023","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Long Beach Transit                                                                                  ","1963 East Anaheim Street                                                                            ","                                                                                                    ","Long Beach                         ","CA                  ",90801,731,"www.lbtransit.com                                                                                   ",1652,"LBT                      ","98 ","800,000 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","N"
"9026","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"San Diego Metropolitan Transit System                                                               ","1255 Imperial Avenue                                                                                ","Suite 1000                                                                                          ","San Diego                          ","CA                  ",92101,"    ","www.sdmts.com                                                                                       ",2301,"MTS                      ","406 ","2,220,359 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","Y"
"9027","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Fresno Area Express                                                                                 ","2223 G Street                                                                                       ","                                                                                                    ","Fresno                             ","CA                  ",93706,1600,"www.fresno.gov                                                                                      ",1649,"FAX                      ","133 ","486,116 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"9028","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"City of Vallejo Transportation Program                                                              ","555 Santa Clara Street                                                                              ","                                                                                                    ","Vallejo                            ","CA                  ",94590,"    ","www.vallejotransit.com                                                                              ",1668,"Vallejo Transit, Baylink ","48 ","210,000 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",3068,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y"," ","N"
"9029","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","1. Independent Agency with an elected Board of Directors                                            ","                                                                                                                                                                                                        ",6,30,2008,"Omnitrans                                                                                           ","1700 West Fifth Street                                                                              ","                                                                                                    ","San Bernardino                     ","CA                  ",92411,"    ","www.omnitrans.org                                                                                   ",1681,"OMNI                     ","458 ","1,440,413 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"9030","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"North County Transit District                                                                       ","810 Mission Avenue                                                                                  ","                                                                                                    ","Oceanside                          ","CA                  ",92054,2825,"www.gonctd.com                                                                                      ",1690,"NCTD                     ","403 ","842,000 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"9031","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","1. Independent Agency with an elected Board of Directors                                            ","                                                                                                                                                                                                        ",6,30,2008,"Riverside Transit Agency                                                                            ","1825 Third Street                                                                                   ","                                                                                                    ","Riverside                          ","CA                  ",92507,"    ","www.riversidetransit.com                                                                            ",1686,"RTA                      ","2,725 ","1,498,433 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
